,Gender,Event,Location,Year,Medal,Name,Nationality,Result,Type,Clean_Result
2344,M,10000M,Stockholm,1912,G,Hannes KOLEHMAINEN,FIN,31:20.8,seconds,1880.8
2349,M,10000M,Stockholm,1912,S,Lewis TEWANIMA,USA,32:06.6,seconds,1926.6
2350,M,10000M,Stockholm,1912,B,Albin STENROOS,FIN,32:21.8,seconds,1941.8
2346,M,10000M,Antwerp,1920,G,Paavo NURMI,FIN,31:45.8,seconds,1905.8
2347,M,10000M,Antwerp,1920,S,Joseph GUILLEMOT,FRA,31:47.2,seconds,1907.2
2348,M,10000M,Antwerp,1920,B,James WILSON,GBR,31:50.8,seconds,1910.8
2338,M,10000M,Paris,1924,G,Ville RITOLA,FIN,30:23.2,seconds,1823.2
2342,M,10000M,Paris,1924,S,Edvin WIDE,SWE,30:55.2,seconds,1855.2
2345,M,10000M,Paris,1924,B,Eero BERG,FIN,31:43.0,seconds,1903.0
2335,M,10000M,Amsterdam,1928,G,Paavo NURMI,FIN,30:18.8,seconds,1818.8
2336,M,10000M,Amsterdam,1928,S,Ville RITOLA,FIN,30:19.4,seconds,1819.4
2343,M,10000M,Amsterdam,1928,B,Edvin WIDE,SWE,31:00.8,seconds,1860.8
2331,M,10000M,Los Angeles,1932,G,Janusz KUSOCINSKI,POL,30:11.4,seconds,1811.4
2332,M,10000M,Los Angeles,1932,S,Volmari ISO-HOLLO,FIN,30:12.6,seconds,1812.6
2339,M,10000M,Los Angeles,1932,B,Lauri VIRTANEN,FIN,30:35.0,seconds,1835.0
2333,M,10000M,Berlin,1936,G,Ilmari SALMINEN,FIN,30:15.4,seconds,1815.4
2334,M,10000M,Berlin,1936,S,Arvo ASKOLA,FIN,30:15.6,seconds,1815.6
2337,M,10000M,Berlin,1936,B,Volmari ISO-HOLLO,FIN,30:20.2,seconds,1820.2
2330,M,10000M,London,1948,G,Emil ZÃTOPEK,TCH,29:59.6,seconds,1799.6
2340,M,10000M,London,1948,S,Alain MIMOUN,FRA,30:47.4,seconds,1847.4
2341,M,10000M,London,1948,B,Bertil ALBERTSSON,SWE,30:53.6,seconds,1853.6
2324,M,10000M,Helsinki,1952,G,Emil ZÃTOPEK,TCH,29:17.0,seconds,1757.0
2327,M,10000M,Helsinki,1952,S,Alain MIMOUN,FRA,29:32.8,seconds,1772.8
2329,M,10000M,Helsinki,1952,B,Aleksandr ANUFRIYEV,URS,29:48.2,seconds,1788.2
2321,M,10000M,Melbourne / Stockholm,1956,G,Vladimir KUTS,URS,28:45.6,seconds,1725.6
2322,M,10000M,Melbourne / Stockholm,1956,S,JÃ³zsef KOVÃCS,HUN,28:52.4,seconds,1732.4
2323,M,10000M,Melbourne / Stockholm,1956,B,Allan LAWRENCE,AUS,28:53.6,seconds,1733.6
2318,M,10000M,Rome,1960,G,Pyotr BOLOTNIKOV,URS,28:32.2,seconds,1712.2
2319,M,10000M,Rome,1960,S,Hans GRODOTZKI,EUA,28:37.0,seconds,1717.0
2320,M,10000M,Rome,1960,B,David POWER,AUS,28:38.2,seconds,1718.2
2315,M,10000M,Tokyo,1964,G,Billy MILLS,USA,28:24.4,seconds,1704.4
2316,M,10000M,Tokyo,1964,S,Mohamed GAMMOUDI,TUN,28:24.8,seconds,1704.8
2317,M,10000M,Tokyo,1964,B,Ron CLARKE,AUS,28:25.8,seconds,1705.8
2325,M,10000M,Mexico,1968,G,Naftali TEMU,KEN,29:27.4,seconds,1767.4
2326,M,10000M,Mexico,1968,S,Mamo WOLDE,ETH,29:28.0,seconds,1768.0
2328,M,10000M,Mexico,1968,B,Mohamed GAMMOUDI,TUN,29:34.2,seconds,1774.2
2300,M,10000M,Munich,1972,G,Lasse VIREN,FIN,27:38.4,seconds,1658.4
2301,M,10000M,Munich,1972,S,Emiel PUTTEMANS,BEL,27:39.6,seconds,1659.6
2303,M,10000M,Munich,1972,B,Miruts YIFTER,ETH,27:41.0,seconds,1661.0
2302,M,10000M,Montreal,1976,G,Lasse VIREN,FIN,27:40.4,seconds,1660.4
2307,M,10000M,Montreal,1976,S,Carlos LOPES,POR,27:45.2,seconds,1665.2
2311,M,10000M,Montreal,1976,B,Brendan FOSTER,GBR,27:54.9,seconds,1674.9
2304,M,10000M,Moscow,1980,G,Miruts YIFTER,ETH,27:42.7,seconds,1662.7
2305,M,10000M,Moscow,1980,S,Kaarlo MAANINKA,FIN,27:44.3,seconds,1664.3
2306,M,10000M,Moscow,1980,B,Mohammed KEDIR,ETH,27:44.7,seconds,1664.7
2309,M,10000M,Los Angeles,1984,G,Alberto COVA,ITA,27:47.5,seconds,1667.5
2313,M,10000M,Los Angeles,1984,S,Michael MCLEOD,GBR,28:06.2,seconds,1686.2
2314,M,10000M,Los Angeles,1984,B,Michael MUSYOKI,KEN,28:06.5,seconds,1686.5
2278,W,10000M,Barcelona,1992,G,Derartu TULU,ETH,31:06.0,seconds,1866.0
2280,W,10000M,Barcelona,1992,S,Elana MEYER,RSA,31:11.7,seconds,1871.7
2281,W,10000M,Barcelona,1992,B,Lynn JENNINGS,USA,31:19.9,seconds,1879.9
2308,M,10000M,Barcelona,1992,G,Khalid SKAH,MAR,27:46.7,seconds,1666.7
2310,M,10000M,Barcelona,1992,S,Richard CHELIMO,KEN,27:47.7,seconds,1667.7
2312,M,10000M,Barcelona,1992,B,Addis ABEBE,ETH,28:00.1,seconds,1680.1
2276,W,10000M,Atlanta,1996,G,Fernanda RIBEIRO,POR,31:01.6,seconds,1861.6
2277,W,10000M,Atlanta,1996,S,Junxia WANG,CHN,31:02.6,seconds,1862.6
2279,W,10000M,Atlanta,1996,B,Gete WAMI,ETH,31:06.6,seconds,1866.6
2289,M,10000M,Atlanta,1996,G,Haile GEBRSELASSIE,ETH,27:07.3,seconds,1627.3
2290,M,10000M,Atlanta,1996,S,Paul TERGAT,KEN,27:08.2,seconds,1628.2
2296,M,10000M,Atlanta,1996,B,Salah HISSOU,MAR,27:24.7,seconds,1644.7
2266,W,10000M,Sydney,2000,G,Derartu TULU,ETH,30:17.5,seconds,1817.5
2269,W,10000M,Sydney,2000,S,Gete WAMI,ETH,30:22.5,seconds,1822.5
2270,W,10000M,Sydney,2000,B,Fernanda RIBEIRO,POR,30:22.9,seconds,1822.9
