100M,This event is essentially an all-out sprint from the gun to the finish line. Perfecting the start is essential as is learning to run at top speed while staying relaxed. It is run on the straightaway of the track.
200M,"Very similar to the 100m, but success in this event requires additional strength to enable the athlete to maintain a fast pace over the entire 200 meter distance. The majority of short sprinters compete in both events. It covers ½ of the oval."
400M,"The long sprint. This event requires a combination of speed, strength and tolerance for pain. The fast pace the athletes run usually results in the formation of lactic acid by the 300 meter mark, which causes a sensation of burning and fatigue in the muscles. It is one full lap of a standard size outdoor track."
800M,"A ""tweener"" event. There are 800m specialists but athletes in this event usually either are good sprinters who can run both the 400m and 800m, or they have good endurance and can run both the 800m and 1500m well. This event requires excellent natural endurance, as well as good speed for a strong finish. It is two laps around a standard outdoor track."
1500M,"The ""metric mile."" The relationship between the 1500m and the 800m is very similar to that between the 200m and 100m. It requires the same basic skill set with some added strength and endurance to cover the additional distance. Athletes must have the endurance to maintain a demanding pace for nearly a full mile, but must be prepared to sprint home with a strong finish over the final lap of this 3 ¾ lap race."
3000M Steeplechase,"This is one of the most interesting events in track & field- a distance race with hurdles. While covering this 7 ½ lap distance, the athletes must traverse four barriers placed on the track. One of the barriers is placed in front of a water pit that must also be negotiated on each lap. Unlike the lightweight hurdles used for the hurdling events, these heavy wooden barriers will not budge if hit. Some steeplechasers hurdle the barriers cleanly, but most step on them with one foot to clear them. Steeplechasers are usually also very capable 5000m runners."
5000M,"This 12 1/2 lap race is equivalent to 3.1 miles of running at a hard pace. Exceptional endurance is required, as is a healthy amount of speed for the intense race to the finish line frequently seen in 5k races."
10000M,This is the longest event contested solely on the track. It is for those who have the strongest cardio-pulmonary systems capable of keeping enough oxygen flowing to the muscles while maintaining a punishing pace for 6.2 miles or 25 laps around the track.
100M Hurdles,An all out sprint while traversing 10 hurdles placed between the start and the finish. The women's event is 100 meters long.
110M Hurdles,An all out sprint while traversing 10 hurdles placed between the start and the finish. The men's event is 110 meters longer and is sometimes called the high hurdles.
400M Hurdles,"Also known as the intermediate hurdles, this event requires the speed of a sprinter, the strength of an 800 meter runner and the technical skill of a 100 or 110 meter hurdler. This race also involves ten hurdles, but unlike the short hurdle race where runners will use the same lead leg and trail leg over each hurdle, in the intermediate hurdles they must be able to use either leg as their lead leg."
4X100M Relay,"Four athletes each run approximately 100m or one quarter of the track. It is not just the speed of the runners, but the precision of their baton passes that determines how well the team does. Each baton exchange must be made within a marked zone on the track. Failure to exchange the baton in the zone results in disqualification. For the 4 x 100m, the baton pass is usually ""blind"" meaning that the outgoing runner does not look at the baton but extends her hand back to receive it while running close to maximum speed and facing forward."
4X400M Relay,"Relay Traditionally, this is the last event contested at most track meets. Each athlete runs one full lap and exchanges the baton in a zone near the finish line. For this relay the outgoing athlete generally turns his face and watches the baton exchange. The incoming athlete, who is finishing the final meters of a tough 400m, is usually quite tired so the outgoing athlete has to accelerate to racing speed while being cautious not to go too fast before getting the baton."
20Km Race Walk,"Both race walking events are endurance events and usually contested on a road course. Race walk requires a complex physical motion involving the feet, legs, hips, back and arms. A primary rule of race walking is that at no time can both feet be in the air at the same time. Judges watch for this running motion and disqualify athletes who accidentally allow one foot to leave the ground before the other has landed. 20 kilometers is 12.4 miles."
50Km Race Walk,"This is the longest of all the track & field events, covering more than 30 miles of intense racing. This event requires exceptional endurance and cardiovascular ability, not only for the competitions, but also for the training involved to be successful in this event."
