Index,Year,Host
0,1896,Greece
1,1900,France
2,1904,United States of America
3,1908,United Kingdom
4,1912,Sweden
5,1920,Belgium
6,1924,France
7,1928,Netherlands
8,1932,United States of America
9,1936,Germany
10,1948,United Kingdom
11,1952,Finland
12,1956,Australia
13,1960,Italy
14,1964,Japan
15,1968,Mexico
16,1972,Germany
17,1976,Canada
18,1980,Russia
19,1984,United States of America
20,1988,South Korea
21,1992,Spain
22,1996,United States of America
23,2000,Australia
24,2004,Greece
25,2008,China
26,2012,United Kingdom
27,2016,Brazil
