,Event,Gender,Set,Broken
0,10000M,M,1912,1924
1,10000M,M,1924,1928
2,10000M,M,1928,1932
3,10000M,M,1932,1948
4,10000M,M,1948,1952
5,10000M,M,1952,1956
6,10000M,M,1956,1960
7,10000M,M,1960,1964
8,10000M,M,1964,1972
9,10000M,M,1972,1996
10,10000M,M,1996,2004
11,10000M,M,2004,2008
12,10000M,M,2008,2016
13,10000M,M,2016,2020
14,100M,M,1896,1900
15,100M,M,1900,1908
16,100M,M,1908,1924
17,100M,M,1924,1932
18,100M,M,1932,1960
19,100M,M,1960,1964
20,100M,M,1964,1968
21,100M,M,1968,1996
22,100M,M,1996,2008
23,100M,M,2008,2012
24,100M,M,2012,2020
25,110M Hurdles,M,1896,1900
26,110M Hurdles,M,1900,1908
27,110M Hurdles,M,1908,1920
28,110M Hurdles,M,1920,1932
29,110M Hurdles,M,1932,1936
30,110M Hurdles,M,1936,1948
31,110M Hurdles,M,1948,1952
32,110M Hurdles,M,1952,1956
33,110M Hurdles,M,1956,1968
34,110M Hurdles,M,1968,1972
35,110M Hurdles,M,1972,1984
36,110M Hurdles,M,1984,1992
37,110M Hurdles,M,1992,1996
38,110M Hurdles,M,1996,2004
39,110M Hurdles,M,2004,2020
40,1500M,M,1896,1900
41,1500M,M,1900,1904
42,1500M,M,1904,1908
43,1500M,M,1908,1912
44,1500M,M,1912,1924
45,1500M,M,1924,1928
46,1500M,M,1928,1932
47,1500M,M,1932,1936
48,1500M,M,1936,1952
49,1500M,M,1952,1956
50,1500M,M,1956,1960
51,1500M,M,1960,1968
52,1500M,M,1968,1984
53,1500M,M,1984,2000
54,1500M,M,2000,2020
55,200M,M,1900,1904
56,200M,M,1904,1932
57,200M,M,1932,1936
58,200M,M,1936,1956
59,200M,M,1956,1960
60,200M,M,1960,1964
61,200M,M,1964,1968
62,200M,M,1968,1996
63,200M,M,1996,2008
64,200M,M,2008,2020
65,20Km Race Walk,M,1956,1964
66,20Km Race Walk,M,1964,1972
67,20Km Race Walk,M,1972,1976
68,20Km Race Walk,M,1976,1980
69,20Km Race Walk,M,1980,1984
70,20Km Race Walk,M,1984,1988
71,20Km Race Walk,M,1988,2000
72,20Km Race Walk,M,2000,2012
73,20Km Race Walk,M,2012,2020
74,3000M Steeplechase,M,1920,1924
75,3000M Steeplechase,M,1924,1928
76,3000M Steeplechase,M,1928,1936
77,3000M Steeplechase,M,1936,1952
78,3000M Steeplechase,M,1952,1956
79,3000M Steeplechase,M,1956,1960
80,3000M Steeplechase,M,1960,1964
81,3000M Steeplechase,M,1964,1972
82,3000M Steeplechase,M,1972,1976
83,3000M Steeplechase,M,1976,1996
84,3000M Steeplechase,M,1996,2004
85,3000M Steeplechase,M,2004,2016
86,3000M Steeplechase,M,2016,2020
87,400M,M,1896,1900
88,400M,M,1900,1904
89,400M,M,1904,1912
90,400M,M,1912,1924
91,400M,M,1924,1932
92,400M,M,1932,1952
93,400M,M,1952,1960
94,400M,M,1960,1968
95,400M,M,1968,1992
96,400M,M,1992,1996
97,400M,M,1996,2016
98,400M,M,2016,2020
99,400M Hurdles,M,1900,1904
100,400M Hurdles,M,1904,1924
101,400M Hurdles,M,1924,1932
102,400M Hurdles,M,1932,1948
103,400M Hurdles,M,1948,1952
104,400M Hurdles,M,1952,1956
105,400M Hurdles,M,1956,1960
106,400M Hurdles,M,1960,1968
107,400M Hurdles,M,1968,1972
108,400M Hurdles,M,1972,1976
109,400M Hurdles,M,1976,1992
110,400M Hurdles,M,1992,2020
111,4X100M Relay,M,1912,1920
112,4X100M Relay,M,1920,1924
113,4X100M Relay,M,1924,1932
114,4X100M Relay,M,1932,1936
115,4X100M Relay,M,1936,1956
116,4X100M Relay,M,1956,1964
