,Event,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,Records
0,10000M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]"
1,100M,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,"[1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1]"
2,1500M,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
3,200M,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,"[0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
4,20Km Race Walk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]"
5,3000M Steeplechase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
6,400M,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
7,400M Hurdles,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]"
8,4X100M Relay,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,"[1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
9,4X400M Relay,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
10,5000M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]"
11,800M,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,Marathon,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]"
13,100M Hurdles,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
14,Discus Throw,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,"[1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
15,Hammer Throw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]"
16,Heptathlon,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
17,High Jump,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0]"
18,Javelin Throw,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
19,Long Jump,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
20,Pole Vault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]"
21,Shot Put,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,Triple Jump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
